ID;LK_ArticleNumber;LK_ArticleIndex;LK_ArticleName;LK_ArticleInfo;Product_Family;Customer_Number;Hardware_Version;Software_Version;NSL;All_whether_light;Lichttaste;Linkslenker;Rechslenker;LK-Q-Standard;Picture,Print_File_Name
10337637;10337637;0;Audi_Au38X_LTM;LH;Tab_header_7way;4K1.951.501.K;0;0;X;X;X;X;X;0;D:\KProjects\Audi_Au38X_LTM_4STs\Kostal.Testman.Startup_4.1.2.0__NET46_Audi_Au38X_LTM_Test\variants\Pictures\10337637.bmp
10341590;10341590;0;Audi_Au38X_LTM;RH;Tab_header_7way;4K2.951.501.K;0;0;X;X;X;X;X;0;D:\KProjects\Audi_Au38X_LTM_4STs\Kostal.Testman.Startup_4.1.2.0__NET46_Audi_Au38X_LTM_Test\variants\Pictures\10341590.bmp
10341591;10341591;0;Audi_Au38X_LTM;LH;Tab_header_7way;4K1.951.501.L;0;0;X;;X;X;X;0;D:\KProjects\Audi_Au38X_LTM_4STs\Kostal.Testman.Startup_4.1.2.0__NET46_Audi_Au38X_LTM_Test\variants\Pictures\10341591.bmp
10342100;10342100;0;Audi_Au38X_LTM;RH;Tab_header_7way;4K2.951.501.L;0;0;X;;X;X;X;0;D:\KProjects\Audi_Au38X_LTM_4STs\Kostal.Testman.Startup_4.1.2.0__NET46_Audi_Au38X_LTM_Test\variants\Pictures\10342100.bmp
