ID;LK_ArticleNumber;LK_ArticleIndex;LK_ArticleName;LK_ArticleInfo;Product_Family;Customer_Number;Hardware_Version;Software_Version
10132860;10132860;0;10132860;SRC;SRC;GN15-14A664-AA;0;0
10132861;10132861;0;10132861;SRC;SRC;H1BT-14A664-AA;0;0
10132862;10132862;0;10132862;SRC;SRC;GN15-14A664-BA;0;0
10123713;10123713;0;10123713;SRC;SRC;GN15-14A664-CA;0;0
